id,WTP,If_rafted_before,If_camped_before,If_trekked_before,Age,Gender,Marital_status
1,600,Yes,Yes,No,23,M,Single
2,700,No,Yes,Yes,23,M,Single
3,600,Yes,Yes,Yes,23,F,Single
4,900,Yes,Yes,Yes,28,M,Single
5,800,Yes,No,Yes,30,M,Married
6,700,No,No,No,23,F,Single
7,800,Yes,Yes,Yes,22,F,Single
8,750,No,No,Yes,29,F,Single
9,1200,No,No,No,27,F,Single
10,1000,Yes,Yes,Yes,24,F,Single
11,300,Yes,No,Yes,25,F,Single
12,200,No,No,No,25,F,Single
13,500,Yes,No,Yes,25,M,Single
14,650,No,Yes,No,31,M,Single
15,750,No,Yes,Yes,27,M,Single
16,1000,No,Yes,Yes,23,F,Single
17,600,No,No,Yes,23,F,Single
18,400,Yes,Yes,Yes,27,M,Single
19,800,Yes,Yes,Yes,28,F,Married
20,1000,Yes,Yes,Yes,23,F,Single
21,600,No,Yes,Yes,21,F,Single
22,250,Yes,No,Yes,28,M,Single
23,1500,No,Yes,Yes,25,F,Single
24,500,No,No,Yes,24,F,Single
25,500,No,Yes,No,26,F,Single
26,500,No,Yes,Yes,22,F,Single
27,1200,No,Yes,No,30,M,Single
28,350,No,No,Yes,21,F,Single
29,600,Yes,Yes,Yes,22,F,Single
30,800,No,Yes,No,23,F,Single
31,1000,No,Yes,Yes,32,M,Married
32,1600,Yes,No,No,25,F,Single
33,500,No,Yes,Yes,24,F,Single
34,400,Yes,Yes,Yes,23,M,Single
35,700,Yes,Yes,Yes,24,M,Single
36,200,Yes,Yes,Yes,26,F,Single
37,400,Yes,No,No,24,F,Single
38,800,No,Yes,No,29,M,Single
39,1750,Yes,Yes,Yes,31,M,Married
40,450,No,Yes,Yes,24,M,Single
41,1000,Yes,Yes,No,27,F,Married
